ARL6IP6_-_153574693.23-P1P2|ARL6IP6_-_153574615.23-P1P2++ARL6IP6_-_153574693.23-P1P2|ARL6IP6_-_153574615.23-P1P2,1
ARL8B_+_5164015.23-P1P2|ARL8B_+_5164028.23-P1P2++ARL8B_+_5164015.23-P1P2|ARL8B_+_5164028.23-P1P2,5
ARPC5_+_183604818.23-P1P2|ARPC5_-_183604444.23-P1P2++ARPC5_+_183604818.23-P1P2|ARPC5_-_183604444.23-P1P2,2
ASCL5_+_201096314.23-P1P2|ASCL5_+_201096304.23-P1P2++ASCL5_+_201096314.23-P1P2|ASCL5_+_201096304.23-P1P2,2
ASNSD1_-_190526200.23-P1P2|ASNSD1_-_190526273.23-P1P2++ASNSD1_-_190526200.23-P1P2|ASNSD1_-_190526273.23-P1P2,3
ATF2_+_176032892.23-P1P2|ATF2_+_176032497.23-P1P2++ATF2_+_176032892.23-P1P2|ATF2_+_176032497.23-P1P2,1
ATHL1_-_289141.23-P1P2|ATHL1_+_289204.23-P1P2++ATHL1_-_289141.23-P1P2|ATHL1_+_289204.23-P1P2,2
ATOH8_-_85981251.23-P1P2|ATOH8_-_85981376.23-P1P2++TRIM34_+_5618052.23-P2|TRIM34_-_5617976.23-P2,5
ATP10A_+_26108493.23-P1P2|ATP10A_+_26108418.23-P1P2++ATP10A_+_26108493.23-P1P2|ATP10A_+_26108418.23-P1P2,1
ATP13A3_-_194207571.23-P1P2|ATP13A3_-_194207695.23-P1P2++ATP13A3_-_194207571.23-P1P2|ATP13A3_-_194207695.23-P1P2,2
ATP1A1_-_116915944.23-P1P2|ATP1A1_-_116915929.23-P1P2++ATP1A1_-_116915944.23-P1P2|ATP1A1_-_116915929.23-P1P2,2
ATP6V1D_+_67826485.23-P1P2|ATP6V1D_+_67826497.23-P1P2++ATP6V1D_+_67826485.23-P1P2|ATP6V1D_+_67826497.23-P1P2,2
ATXN7L3B_-_74931677.23-P1P2|ATXN7L3B_-_74931599.23-P1P2++ATXN7L3B_-_74931677.23-P1P2|ATXN7L3B_-_74931599.23-P1P2,3
